level,llm,source,target,accuracy,f1_macro,trainable_params,use_reprogramming,two_stage,use_recon_aux
L1-Fixes,Qwen-1.5B,shoaib,shoaib,0.944636678200692,0.935940563700452,159760,False,False,False
L1-Fixes,Qwen-1.5B,shoaib,motionsense,0.8739297679612855,0.8016444502236653,159760,False,False,False
L1-Fixes,Qwen-1.5B,shoaib,hhar,0.6463189901409748,0.549011473610729,159760,False,False,False
L1-Fixes,Qwen-1.5B,motionsense,uci,0.8573240329740013,0.8033945811636687,159760,False,False,False
L1-Fixes,Qwen-1.5B,motionsense,shoaib,0.9446558284330682,0.9331749778035564,159760,False,False,False
L1-Fixes,Qwen-1.5B,motionsense,motionsense,0.957169459962756,0.9183984923734152,159760,False,False,False
L1-Fixes,Qwen-1.5B,motionsense,hhar,0.7692803833041555,0.7095137905336011,159760,False,False,False
L1-Fixes,Qwen-1.5B,hhar,uci,0.9036144578313252,0.8634535963511069,159760,False,False,False
L1-Fixes,Qwen-1.5B,hhar,shoaib,0.6451054998270495,0.5430801733388745,159760,False,False,False
L1-Fixes,Qwen-1.5B,hhar,motionsense,0.7674649460230798,0.6598795557811387,159760,False,False,False
L1-Fixes,Qwen-1.5B,hhar,hhar,0.9315825846579128,0.911322796244294,159760,False,False,False
L2a-Reprogram,GPT-2,uci,uci,0.9063492063492063,0.8741641864522525,2492177,True,False,False
L2a-Reprogram,GPT-2,uci,shoaib,0.8159806295399515,0.7759342850093671,2492177,True,False,False
L2a-Reprogram,GPT-2,uci,motionsense,0.8468792654175455,0.7282769887466671,2492177,True,False,False
L2a-Reprogram,GPT-2,uci,hhar,0.7745323873583341,0.7137060500512769,2492177,True,False,False
L2a-Reprogram,GPT-2,shoaib,uci,0.7878883956880152,0.7053198607610193,2492177,True,False,False
L2a-Reprogram,GPT-2,shoaib,shoaib,0.7854671280276817,0.732804166664442,2492177,True,False,False
L2a-Reprogram,GPT-2,shoaib,motionsense,0.7935227695743888,0.7072081763228932,2492177,True,False,False
L2a-Reprogram,GPT-2,shoaib,hhar,0.6750207315949507,0.5757367410966318,2492177,True,False,False
L2a-Reprogram,GPT-2,motionsense,uci,0.7812301838934687,0.6754189544722059,2492177,True,False,False
L2a-Reprogram,GPT-2,motionsense,shoaib,0.837772397094431,0.801847490792021,2492177,True,False,False
L2a-Reprogram,GPT-2,motionsense,motionsense,0.9124767225325884,0.845188299906855,2492177,True,False,False
L2a-Reprogram,GPT-2,motionsense,hhar,0.7173131852943887,0.6164732911308746,2492177,True,False,False
L2a-Reprogram,GPT-2,hhar,uci,0.8557387444514901,0.7914496106200652,2492177,True,False,False
